Date,Open,High,Low,Close,Adj Close,Volume
1967/2/9,2.288066,2.358025,2.288066,2.304527,0.686649,1251200
1967/2/10,2.304527,2.358025,2.292181,2.353909,0.701363,619400
1967/2/13,2.345679,2.345679,2.279835,2.288066,0.681744,372800
1967/2/14,2.288066,2.316872,2.27572,2.283951,0.680519,421400
1967/2/15,2.283951,2.300411,2.271605,2.271605,0.67684,710400
1967/2/16,2.26749,2.26749,2.222222,2.251029,0.670709,846800
1967/2/17,2.251029,2.259259,2.238683,2.238683,0.667031,579600
1967/2/20,2.238683,2.26749,2.218107,2.263375,0.674387,528200
1967/2/21,2.279835,2.320988,2.279835,2.296296,0.684196,680400
1967/2/23,2.304527,2.386831,2.304527,2.378601,0.70872,972000
1967/2/24,2.378601,2.444444,2.345679,2.345679,0.698911,1670400
1967/2/27,2.345679,2.36214,2.308642,2.337449,0.696458,683000
1967/2/28,2.337449,2.427984,2.308642,2.419753,0.720982,1223400
1967/3/1,2.444444,2.502058,2.444444,2.485597,0.7406,2770200
1967/3/2,2.489712,2.55144,2.489712,2.54321,0.757766,1986200
1967/3/3,2.54321,2.654321,2.518518,2.654321,0.790873,2377800
1967/3/6,2.654321,2.679012,2.625515,2.63786,0.785968,1476000
1967/3/7,2.63786,2.63786,2.592592,2.62963,0.783515,856200
1967/3/8,2.62963,2.650206,2.588477,2.596708,0.773706,637400
1967/3/9,2.596708,2.600823,2.555556,2.555556,0.761445,464400
1967/3/10,2.63786,2.748971,2.63786,2.662551,0.793325,2958200
